ArtigoID,QuoteID,TipoQuote,Página_yaml,Página_match,score,exact,snippet
ART_001,Q001,Contexto,p.1,1,100.0,True,"Traditional evaluation methods often fail to handle large datasets and dynamic sustainability metrics, resulting in suboptimal decisions."
ART_001,Q002,Intervenção,p.1,1,100.0,True,This study introduces a novel hybrid intelligent framework that integrates Most Productive Scale Size Data Envelopment Analysis (MPSS-DEA) with three Artificial intelligence (AI) a
ART_001,Q003,Outcome,p.1,1,100.0,True,"Applied to 362 suppliers and 38 sustainability criteria in the petrochemical industry, the proposed framework achieved high classification accuracies of 92.5% (DEA-CHAID), 91.9% (D"
ART_001,Q004,Mecanismo,p.20,20,100.0,True,"By integrating AI algorithms, the model significantly reduces runtime and enables accurate classification of suppliers into efficient (MPSS) and inefficient (non-MPSS) categories."
ART_001,Q005,Limitação,p.21,21,100.0,True,"The framework was tested only in the petrochemical industry, which may limit its generalizability to other sectors."
ART_001,Q006,Limitação,p.21,21,100.0,True,"AI algorithms require large, high-quality datasets; however, data availability is restricted in some industries due to confidentiality."
ART_002,Q001,Contexto,p.1,1,100.0,True,creating and owning a purposeful and intelligent process for evaluation and analysis of suppliers is one of the inevitable needs and concerns of these countries.
ART_002,Q002,Mecanismo,p.1,1,100.0,True,"This model which ﬁnally leads to optimal selection and ranking of suppliers, reducing the time and cost in the selection process and also reduced human errors by using data mining "
ART_002,Q003,Método,p.6,6,100.0,True,"In this research, 1430 records were collected which after data cleaning was reduced to 1118 records."
ART_002,Q004,Método,p.6,6,100.0,True,"After preparing the data, 36 attributes for each item were obtained and ﬁnally 29 attributes were selected which can be seen in Table 1."
ART_002,Q005,Mecanismo,p.18,18,100.0,True,"In the PDMRRT module, to improve the retrieval performance, nearest to the version of the base case, the SOM-based clustering technique is used K-Prototype."
ART_002,Q006,Outcome,p.18,18,100.0,True,"To select the optimal k, for every k = 2, 3,…, 12 in the MATLAB software, the Davies-Bouldin index is calculated in a function called Davies-Bouldin.m which in Table 3, its results"
ART_002,Q007,Outcome,p.24,24,100.0,True,Reducing the impact of human error by replacing it with expert system based on neural network is another useful outcome of this study to explore it.
ART_002,Q008,Limitação,p.24,24,100.0,True,Experts have disagreement among them about the remaining variables in the model proposed code status and role in creating rules.
ART_003,Q001,Contexto,p.2,2,100.0,True,"The crude oil industry, particularly in the production of vessels, faces signiﬁcant pres- sures to balance environmental sustainability with operational efﬁciency."
ART_003,Q002,Intervenção,p.2,2,100.0,True,This paper proposes an innovative machine learning algorithm that integrates Graph Attention Networks (GAT) with Monte Carlo Markov Chain (MCMC) techniques to optimize the Work Bre
ART_003,Q003,Método,p.5,5,100.0,True,"A synthetic dataset of 15,000 companies involved in crude oil vessel production in Europe was generated for this study."
ART_003,Q004,Mecanismo,p.6,6,100.0,True,"The GAT assigns dynamic attention weights to these nodes, prioritizing those with the most signiﬁcant impact on the overall supply chain."
ART_003,Q005,Mecanismo,p.6,6,100.0,True,"The MCMC method is used to simulate various scenarios within the supply chain, accounting for uncertainties such as ﬂuctuating material availability or unexpected delays."
ART_003,Q006,Outcome,p.7,7,100.0,True,"The model achieved a 22% reduction in CO2 emissions, lowering emissions from 500 metric tons to 390 metric tons per vessel, consistent with recent studies employing advanced optimi"
ART_003,Q007,Outcome,p.7,7,100.0,True,"The model also decreased lead times by 16%, bringing aver- age production times from 24 months down to 20.2 months, corroborating results seen in similar GAT-based applications."
ART_003,Q008,Limitação,p.5,5,100.0,True,This combination has shown potential in supply chain optimization but requires rigorous testing to conﬁrm its effectiveness in real-world applications.
ART_004,Q001,Contexto,p.2,2,98.82,False,"The Oil and Gas (O&G) industry faces significant challenges, including extensive paperwork and rec- onciliation processes that escalate both monetary and time ex- pendituresassocia"
ART_004,Q002,Intervenção,p.4,4,100.0,True,"2) Utilization of Various Decision-Making: Our methodol- ogy integrates diverse decision-making techniques, each rooted in different theoretical philosophies; i.e., network decisio"
ART_004,Q003,Método,p.4,4,100.0,True,"The methodology is based on a combination of established decision-making models; i.e., entropy method (EM), TOPSIS, simple additive weighted (SAW), and data envelopment analysis (D"
